facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0350,8,0,6.6,4.3,47.1,1,525,5,2026-08-23,3.9,Medium
F0351,8,5,7.2,3.2,48.2,0,526,8,2026-04-18,2.8,Medium
F0352,2,4,7.1,4.0,21.9,1,688,5,2026-07-26,7.5,Medium
F0353,7,2,6.0,5.2,52.2,1,631,5,2026-01-03,2.9,Medium
F0354,4,0,5.3,5.3,42.2,1,211,6,2026-01-24,1.4,Medium
F0355,8,4,4.2,7.2,49.4,1,394,8,2026-04-07,1.1,High
F0356,9,1,6.3,5.6,46.5,0,441,8,2026-03-05,5.3,High
F0357,6,1,6.1,4.6,54.8,1,311,7,2026-01-11,0.5,Medium
F0358,4,4,6.3,5.8,55.4,1,424,7,2026-01-05,1.7,Medium
F0359,4,3,4.9,4.5,55.5,1,727,8,2026-03-02,13.3,High
F0360,2,0,8.3,3.0,11.3,1,502,0,2026-07-03,27.1,Low
F0361,0,1,7.7,4.7,50.8,1,250,4,2026-02-26,2.0,Low
F0362,5,0,6.5,1.3,44.8,1,744,5,2026-04-29,17.6,Medium
F0363,1,3,6.3,5.1,56.3,1,20,3,2026-03-01,3.3,Medium
F0364,1,0,4.6,7.1,61.1,1,208,9,2026-05-18,23.3,High
F0365,1,2,6.9,3.3,10.8,1,758,5,2026-03-27,3.7,Low
F0366,8,5,3.7,7.2,64.1,0,552,11,2026-08-13,6.7,High
F0367,2,4,5.1,6.7,77.0,1,490,8,2026-02-27,27.2,High
F0368,9,5,9.5,2.5,19.6,1,336,0,2026-04-25,10.9,Low
F0369,6,1,3.5,7.2,87.5,1,612,7,2026-01-28,3.2,High
F0370,7,0,4.7,7.7,53.0,1,297,6,2026-06-14,10.4,High
F0371,1,4,7.0,3.9,42.4,1,741,1,2026-08-18,2.0,Low
F0372,1,5,7.3,3.1,38.6,1,371,3,2026-01-01,4.0,Low
F0373,5,0,9.0,1.6,34.9,1,249,0,2026-04-25,4.6,Low
F0374,6,0,9.4,1.0,10.2,1,237,0,2026-04-24,0.9,Low
F0375,1,0,4.7,7.8,65.1,1,166,7,2026-07-29,0.8,High
F0376,1,4,5.1,5.3,50.3,0,239,9,2026-06-23,11.4,High
F0377,6,5,9.0,2.5,17.6,0,330,3,2026-09-13,4.6,Low
F0378,0,2,5.2,5.7,37.5,1,20,3,2026-04-01,11.4,Medium
F0379,4,4,6.3,4.0,30.9,0,623,4,2026-05-08,5.3,Medium
F0380,3,0,9.9,4.5,4.5,1,581,3,2026-06-03,9.0,Low
F0381,3,5,5.3,2.7,48.0,1,320,3,2026-04-02,2.6,Medium
F0382,3,0,8.7,1.9,12.1,1,279,3,2026-08-02,6.3,Low
F0383,4,1,7.8,2.3,38.4,1,438,4,2026-03-24,0.5,Low
F0384,1,5,6.9,4.1,66.7,1,326,7,2026-08-20,0.5,Medium
F0385,6,4,8.5,1.0,40.7,1,157,2,2026-05-28,2.0,Low
F0386,7,5,3.1,5.4,96.9,0,323,12,2026-05-09,0.5,High
F0387,7,0,9.0,1.0,11.6,1,485,0,2026-04-11,9.3,Low
F0388,2,0,8.3,1.0,40.0,1,778,2,2026-01-21,1.0,Low
F0389,0,3,5.5,5.3,43.2,1,344,5,2026-06-15,9.3,Medium
F0390,9,5,7.3,4.0,16.9,1,307,5,2026-02-07,6.0,Low
F0391,9,0,6.6,5.2,57.7,1,538,6,2026-04-20,5.8,Medium
F0392,1,1,7.1,3.3,45.6,1,20,2,2026-01-05,13.0,Low
F0393,2,0,5.6,6.2,32.0,1,45,5,2026-02-28,0.5,Medium
F0394,5,3,5.2,4.8,52.3,0,523,7,2026-08-17,12.2,High
F0395,7,1,5.6,7.2,49.1,1,512,6,2026-02-03,26.7,High
F0396,1,1,4.1,6.3,58.1,1,506,5,2026-08-11,13.2,High
F0397,4,4,6.2,4.5,45.4,1,370,4,2026-04-27,1.5,Medium
F0398,0,3,7.1,2.5,50.9,1,757,4,2026-02-02,5.7,Medium
F0399,2,4,6.2,4.3,52.2,1,384,6,2026-08-13,2.7,Medium
F0400,8,0,8.1,3.0,26.0,1,498,5,2026-06-01,12.0,Low
F0401,6,3,4.5,3.9,67.8,1,88,3,2026-03-05,22.4,Medium
F0402,7,4,5.6,4.2,45.4,1,559,5,2026-06-26,10.1,Medium
F0403,3,4,9.5,1.0,22.1,1,539,3,2026-01-28,2.2,Low
F0404,9,2,8.3,2.4,23.0,1,429,3,2026-06-19,6.5,Low
F0405,0,5,5.7,4.5,49.5,1,511,4,2026-03-20,5.0,Medium
F0406,4,0,8.9,1.4,31.1,1,595,2,2026-08-12,1.9,Low
F0407,4,2,8.5,4.1,36.7,1,259,2,2026-02-11,2.7,Low
F0408,0,5,6.0,5.7,42.2,1,181,2,2026-01-16,16.7,Medium
F0409,2,2,4.3,7.7,78.0,1,275,4,2026-07-07,36.0,High
F0410,3,3,7.0,5.3,27.2,1,602,5,2026-07-06,0.7,Medium
F0411,5,0,4.5,4.3,68.2,1,145,4,2026-03-16,5.4,Medium
F0412,2,4,6.8,6.3,46.8,1,415,5,2026-07-04,8.3,Medium
F0414,2,2,5.3,4.6,48.5,1,29,3,2026-05-09,0.6,Medium
F0415,7,3,4.6,6.3,71.5,1,242,5,2026-03-26,7.0,High
F0416,2,0,6.4,3.5,43.4,1,594,6,2026-04-28,12.7,Medium
F0417,8,1,6.0,3.5,38.5,1,450,4,2026-03-24,13.4,Medium
F0418,0,5,6.5,1.8,41.2,1,679,7,2026-07-27,5.5,Medium
F0419,8,2,3.9,5.1,63.3,0,25,7,2026-09-04,1.8,High
F0420,8,1,5.1,6.8,39.5,1,489,4,2026-05-16,8.1,Medium
F0421,2,2,4.7,3.6,55.4,1,382,7,2026-09-16,1.1,Medium
F0422,1,4,6.6,3.8,37.2,0,64,4,2026-03-02,5.7,Medium
F0423,3,4,4.2,4.4,63.5,0,427,7,2026-01-23,8.5,High
F0424,2,2,7.2,4.1,62.2,1,214,5,2026-02-20,10.1,Medium
F0425,0,5,6.3,6.9,50.2,1,380,5,2026-01-04,5.9,Medium
F0426,2,1,6.6,4.5,43.7,1,356,3,2026-03-21,3.4,Medium
F0427,8,0,5.1,5.4,38.5,1,366,4,2026-09-05,36.0,High
F0428,1,1,7.2,2.4,31.4,0,94,4,2026-03-12,3.8,Medium
F0429,8,4,6.8,6.5,46.9,1,398,5,2026-01-27,11.6,Medium
F0430,4,2,3.9,7.2,66.6,1,736,10,2026-02-02,4.3,High
F0431,8,1,4.6,7.7,55.4,1,20,5,2026-01-30,8.0,High
F0432,0,2,10.0,1.0,12.1,1,671,0,2026-04-29,1.6,Low
F0433,0,2,5.6,4.3,30.2,1,20,2,2026-07-27,2.4,Low
F0434,9,0,8.1,1.0,26.6,1,581,3,2026-06-28,13.3,Low
F0435,4,0,7.1,7.2,24.4,1,492,2,2026-09-15,1.4,Medium
F0436,2,5,6.3,6.9,37.1,0,716,6,2026-08-15,6.4,High
F0437,1,4,5.0,6.1,44.1,1,751,7,2026-05-13,17.0,High
F0438,4,2,4.7,3.5,26.2,1,454,6,2026-01-05,23.3,Medium
F0439,8,1,6.0,6.3,47.9,1,228,4,2026-05-18,1.5,Medium
F0440,7,2,7.6,2.2,5.6,1,541,5,2026-04-16,15.5,Low
F0441,3,3,8.2,1.0,13.2,1,730,4,2026-01-04,0.6,Low
F0442,5,2,5.8,5.9,38.8,1,794,3,2026-05-21,6.4,Medium
F0443,3,0,10.0,1.0,10.1,1,583,1,2026-01-17,0.5,Low
F0444,6,1,4.3,5.1,76.5,1,766,6,2026-01-05,4.6,High
F0445,9,2,7.0,5.7,30.2,1,699,4,2026-06-25,6.0,Medium
F0446,0,2,8.5,1.6,25.6,1,129,4,2026-04-03,2.5,Low
F0447,5,3,9.3,1.4,27.1,1,106,2,2026-03-18,6.1,Low
F0448,4,0,5.4,6.3,68.2,0,585,7,2026-09-07,9.6,High
F0449,9,0,4.1,6.3,47.9,1,630,4,2026-08-19,12.6,High
F0450,0,5,6.8,3.1,54.6,0,427,7,2026-04-12,1.0,Medium
F0451,2,5,5.0,4.7,68.4,1,406,6,2026-02-10,5.4,Medium
F0452,1,3,4.4,6.2,81.7,1,627,9,2026-07-27,3.1,High
F0453,0,5,7.1,4.7,33.4,1,596,4,2026-07-05,7.8,Medium
F0454,7,2,8.4,3.9,23.3,1,781,3,2026-02-10,8.1,Low
F0455,4,5,5.7,5.7,65.3,1,333,0,2026-02-23,11.1,Medium
F0456,8,5,5.5,6.6,69.4,0,369,10,2026-03-06,2.5,High
F0457,3,4,6.6,4.1,28.2,1,56,5,2026-05-20,4.8,Low
F0458,3,1,6.0,7.1,73.6,1,225,4,2026-08-11,10.4,Medium
F0459,6,3,5.4,4.7,43.4,1,654,4,2026-06-05,4.4,Medium
F0460,5,0,7.5,1.3,31.1,1,367,4,2026-09-09,8.7,Low
F0461,7,2,8.4,2.7,23.7,1,583,1,2026-07-22,3.5,Low
F0462,4,1,7.7,2.9,13.0,1,446,3,2026-05-20,7.4,Low
F0463,0,4,6.2,2.4,22.8,1,654,2,2026-05-20,2.6,Low
F0464,8,1,4.4,6.7,65.0,1,292,6,2026-05-18,0.8,High
F0465,5,1,6.2,4.9,48.2,1,450,5,2026-07-10,4.1,Medium
F0466,3,4,4.2,7.1,52.1,1,501,6,2026-02-06,11.2,High
F0467,7,1,8.1,5.4,29.1,1,645,3,2026-08-15,27.5,Medium
F0468,4,0,4.6,7.3,60.3,1,700,8,2026-07-19,1.8,High
F0469,7,3,8.1,4.7,28.5,1,152,2,2026-01-27,4.9,Low
F0470,6,3,8.1,3.0,44.0,1,510,1,2026-05-05,3.8,Low
F0471,6,3,3.9,6.1,63.8,1,311,4,2026-06-23,2.1,Medium
F0472,5,1,6.4,4.1,50.8,1,628,6,2026-06-27,2.9,Medium
F0473,7,5,7.4,5.5,30.7,0,522,5,2026-09-08,5.0,Medium
F0474,1,5,7.0,4.5,50.9,1,364,7,2026-03-24,18.4,Medium
F0475,0,0,7.3,4.6,35.2,1,639,3,2026-01-10,7.6,Medium
F0476,3,2,7.2,4.0,27.0,1,280,1,2026-09-12,3.7,Low
F0477,7,3,5.1,5.2,51.8,1,347,5,2026-01-17,0.5,Medium
F0478,6,0,5.5,4.9,53.1,1,596,3,2026-05-12,5.6,Medium
F0479,9,5,7.0,6.0,70.4,1,470,6,2026-02-01,19.8,High
F0480,1,0,4.5,6.4,32.1,1,450,5,2026-01-21,7.2,Medium
F0481,3,1,7.6,3.8,27.2,1,417,4,2026-04-02,3.7,Low
F0482,1,2,9.0,1.0,12.7,1,137,0,2026-08-07,9.1,Low
F0483,9,4,7.0,2.4,18.5,1,420,6,2026-06-16,6.9,Low
F0484,9,4,4.7,6.4,44.9,1,210,4,2026-05-11,1.8,Medium
F0485,7,2,4.6,6.8,54.7,1,20,6,2026-06-03,5.5,Medium
F0486,1,3,6.3,4.9,43.0,1,364,3,2026-03-21,6.1,Medium
F0487,1,1,5.3,5.9,51.5,1,889,5,2026-04-22,2.2,Medium
F0488,0,1,8.7,1.6,38.0,1,706,1,2026-02-18,12.8,Low
F0489,1,2,5.4,7.6,48.4,1,388,4,2026-08-02,11.1,Medium
F0490,9,5,9.3,1.7,0.0,0,222,2,2026-01-22,0.5,Low
F0491,1,2,4.8,5.7,56.2,1,309,8,2026-09-16,36.0,High
F0492,4,3,5.8,3.1,60.0,1,301,6,2026-07-24,10.3,Medium
F0493,7,3,4.8,7.0,51.2,1,77,4,2026-05-07,1.7,Medium
F0494,9,2,7.9,3.0,45.7,1,334,3,2026-07-07,4.0,Low
F0495,5,3,5.3,7.3,66.1,0,458,10,2026-03-16,7.2,High
F0496,7,5,6.3,5.5,40.6,1,627,7,2026-01-28,0.7,Medium
F0497,3,2,9.8,1.0,14.8,1,396,0,2026-04-18,0.9,Low
F0498,2,5,6.5,5.0,59.8,1,76,4,2026-01-10,1.1,Medium
F0499,1,4,8.3,1.8,27.1,1,507,2,2026-01-05,8.9,Low
F0500,7,4,8.5,1.5,8.0,0,362,5,2026-07-17,2.6,Low
F0501,6,2,3.4,7.5,84.7,1,286,8,2026-01-12,0.7,High
F0502,4,2,10.0,2.0,6.4,2,428,0,2026-07-01,8.6,Low
F0503,7,2,10.0,1.0,11.2,1,507,5,2026-05-24,3.7,Low
F0504,2,2,6.4,3.9,56.1,1,396,2,2026-04-27,8.5,Medium
F0505,8,0,4.6,5.8,53.3,1,707,5,2026-04-14,1.1,Medium
F0506,9,3,4.3,5.7,35.6,0,20,9,2026-03-22,11.0,High
F0507,2,0,2.1,7.8,92.1,1,560,9,2026-07-31,9.7,High
F0508,8,2,2.5,5.7,90.9,0,590,10,2026-02-24,11.3,High
F0509,5,2,10.0,1.6,0.0,1,228,0,2026-02-10,6.8,Low
F0510,8,2,6.8,2.4,40.5,1,127,5,2026-03-12,5.1,Low
F0511,1,2,6.7,5.6,73.0,0,332,7,2026-04-15,1.9,High
F0512,2,4,5.3,9.1,36.3,1,235,5,2026-05-07,4.6,Medium
F0513,3,3,6.8,2.4,50.9,1,116,1,2026-01-20,21.0,Medium
F0514,3,4,5.4,3.3,61.3,1,695,5,2026-01-21,3.8,Medium
F0515,4,5,3.7,7.1,79.8,1,485,8,2026-08-05,2.7,High
F0516,1,2,4.5,8.2,51.1,0,121,9,2026-09-14,0.7,High
F0517,5,3,7.2,1.0,34.7,1,318,3,2026-04-14,4.5,Low
F0518,5,1,8.7,2.3,45.2,0,530,3,2026-02-28,1.0,Medium
F0519,9,5,4.9,7.3,39.4,1,689,5,2026-03-29,22.4,High
F0520,4,1,7.7,5.1,12.5,1,661,5,2026-06-07,0.5,Low
F0521,5,4,6.6,3.0,37.7,1,351,3,2026-08-23,1.7,Low
F0522,5,3,5.4,5.5,53.0,0,452,10,2026-07-29,4.8,High
F0523,9,3,6.2,4.7,54.5,1,310,5,2026-01-29,12.9,Medium
F0524,2,2,7.6,3.6,36.4,1,272,2,2026-02-25,0.7,Low
F0525,6,3,7.2,4.7,25.7,1,140,5,2026-07-04,6.2,Low
F0526,4,4,5.7,5.4,38.4,0,588,6,2026-02-03,13.9,High
F0527,5,1,8.3,4.2,24.7,1,696,2,2026-02-14,8.9,Low
F0528,8,5,5.8,4.1,19.6,0,360,9,2026-07-01,2.9,High
F0529,1,3,4.3,6.1,52.3,1,241,4,2026-01-01,7.1,Medium
F0530,9,0,1.3,7.4,95.8,1,510,11,2026-01-24,4.0,High
F0531,6,3,3.9,6.4,76.3,1,440,6,2026-06-15,11.7,High
F0532,9,1,8.5,2.0,13.7,1,390,1,2026-06-19,1.4,Low
F0533,2,1,4.3,6.9,70.7,1,456,9,2026-08-25,4.6,High
F0534,9,3,3.4,9.1,77.3,1,307,6,2026-06-19,0.5,High
F0535,4,1,7.9,2.9,70.3,1,552,2,2026-03-01,13.9,Medium
F0536,7,5,5.6,6.7,34.4,1,815,7,2026-06-04,3.5,Medium
F0537,8,2,6.1,5.5,52.4,0,57,9,2026-09-14,4.4,High
F0538,3,1,6.7,3.5,55.3,1,357,5,2026-02-20,11.0,Medium
F0539,9,4,7.7,3.3,46.2,1,479,3,2026-02-14,0.9,Low
F0540,9,2,6.9,4.6,35.7,1,428,3,2026-04-18,10.7,Medium
F0541,7,5,6.9,5.1,33.5,1,645,4,2026-02-22,1.2,Medium
F0542,4,5,6.7,3.6,51.6,1,379,3,2026-02-06,2.1,Medium
F0543,8,1,8.2,1.8,31.4,0,446,5,2026-07-20,0.5,Medium
F0544,3,3,6.9,2.7,29.2,1,334,1,2026-04-12,2.8,Low
F0545,5,2,9.5,1.1,9.2,1,455,0,2026-08-27,18.9,Low
F0546,9,4,6.8,4.9,38.3,0,419,8,2026-06-19,1.5,High
F0547,2,1,5.7,5.3,62.8,1,593,4,2026-02-22,2.5,Medium
F0548,7,5,8.4,2.9,14.5,1,501,0,2026-07-31,3.8,Low
F0549,3,1,6.4,5.4,39.3,1,438,0,2026-06-25,8.9,Medium
F0550,9,5,8.6,2.6,45.2,1,690,2,2026-08-26,5.0,Low
F0551,5,1,8.1,3.7,24.0,1,639,1,2026-06-17,8.7,Low
F0552,8,1,4.4,6.3,57.2,1,791,4,2026-01-01,7.6,High
F0553,2,1,7.8,4.5,17.6,1,614,2,2026-06-05,8.6,Low
F0554,4,3,8.7,3.5,22.3,1,1074,3,2026-03-07,3.9,Low
F0555,2,1,4.8,7.4,79.4,1,542,9,2026-05-01,3.3,High
F0556,5,2,3.5,6.0,60.0,1,234,7,2026-03-30,1.8,High
F0557,6,2,7.1,5.1,61.9,1,237,4,2026-02-06,36.0,High
F0558,5,1,5.5,5.2,36.6,1,522,5,2026-08-01,7.7,Medium
F0559,0,4,4.8,5.4,65.9,1,667,5,2026-01-04,4.5,High
F0560,0,4,7.4,4.1,27.0,1,195,4,2026-01-20,3.4,Low
F0561,5,5,6.1,4.3,25.8,1,469,8,2026-05-24,9.9,Medium
F0562,3,5,5.8,7.6,63.7,1,73,5,2026-02-09,24.2,High
F0563,9,0,6.2,5.2,32.7,1,747,2,2026-08-04,5.4,Medium
F0564,5,5,7.0,3.9,42.6,0,428,4,2026-02-01,6.2,Medium
F0565,4,2,6.7,4.7,67.1,1,405,6,2026-05-23,2.5,Medium
F0566,5,0,7.5,2.7,27.0,1,413,1,2026-03-19,18.1,Low
F0567,0,2,6.9,3.2,35.0,1,188,3,2026-03-16,14.9,Medium
F0568,7,5,7.1,5.0,18.2,1,189,4,2026-03-27,9.7,Low
F0569,2,1,6.2,3.6,31.5,1,142,2,2026-04-30,1.4,Low
F0570,2,1,7.4,3.2,20.1,1,453,3,2026-08-18,19.7,Medium
F0571,9,0,5.5,7.0,58.6,1,402,7,2026-05-20,3.3,High
F0572,3,0,4.2,6.7,70.5,1,136,8,2026-04-10,10.4,High
F0573,9,2,3.8,3.5,67.0,1,459,4,2026-08-17,0.5,Medium
F0574,0,1,7.6,3.2,23.1,1,374,2,2026-04-22,6.8,Low
F0575,1,1,9.8,3.5,30.1,1,584,0,2026-04-05,10.8,Low
F0576,9,0,3.7,7.7,79.4,1,644,8,2026-08-07,36.0,High
F0577,1,4,6.8,4.6,43.1,1,216,5,2026-08-14,0.5,Medium
F0578,7,5,6.0,5.9,46.8,1,365,4,2026-08-09,5.8,Medium
F0579,8,1,3.8,5.0,66.4,1,329,6,2026-09-12,6.4,High
F0580,3,1,8.5,1.0,0.4,1,394,3,2026-01-02,17.6,Low
F0581,1,5,8.5,1.9,0.7,1,595,2,2026-09-04,11.5,Low
F0582,9,5,6.4,1.0,34.9,1,405,4,2026-02-16,36.0,Medium
F0583,4,1,7.4,2.7,48.2,1,117,0,2026-04-08,1.7,Low
F0584,8,3,4.7,5.8,63.9,1,20,5,2026-04-08,4.3,Medium
F0585,6,3,7.5,5.4,21.0,1,289,2,2026-08-19,5.8,Low
F0586,3,2,8.6,1.8,35.4,1,304,2,2026-08-23,8.0,Low
F0587,8,3,6.3,3.8,65.8,1,586,6,2026-05-05,0.5,Medium
F0588,1,3,4.9,6.3,61.9,1,495,4,2026-02-02,1.4,Medium
F0589,1,1,3.0,8.0,79.6,1,820,10,2026-06-16,12.5,High
F0590,1,3,6.1,4.3,43.6,1,530,2,2026-06-21,6.7,Medium
F0591,8,3,5.9,7.3,55.5,1,614,5,2026-07-12,2.1,Medium
F0592,2,1,5.9,5.5,45.0,1,738,4,2026-05-26,6.8,Medium
F0593,0,2,7.6,1.3,30.2,1,290,0,2026-01-20,5.6,Low
F0594,7,3,8.8,1.8,3.9,1,516,0,2026-05-01,4.1,Low
F0595,4,3,10.0,1.0,0.0,0,132,1,2026-04-17,5.3,Low
F0596,6,1,7.0,4.8,62.4,1,674,4,2026-01-23,1.5,Medium
F0597,8,3,5.5,6.2,52.3,0,734,9,2026-04-01,4.5,High
F0598,9,2,6.8,3.6,41.5,0,377,5,2026-04-12,3.0,Medium
F0599,6,4,6.7,3.2,60.4,1,638,5,2026-09-06,3.5,Medium
F0600,4,2,8.5,4.3,50.9,1,339,3,2026-07-03,9.5,Low
F0601,4,5,6.2,5.1,35.9,1,355,2,2026-04-23,4.7,Medium
F0602,1,4,8.0,4.3,50.8,0,669,6,2026-04-28,6.0,Medium
F0603,7,0,7.8,2.0,50.5,1,421,3,2026-05-07,2.5,Low
F0604,6,3,3.3,6.9,76.3,0,889,10,2026-08-02,17.1,High
F0605,7,3,9.5,1.4,1.8,1,423,1,2026-09-11,12.4,Low
F0606,6,4,5.6,5.2,50.8,1,541,5,2026-02-16,2.6,Medium
F0607,8,0,5.9,4.4,31.3,1,502,3,2026-07-27,28.1,Medium
F0608,4,4,6.6,3.0,27.0,1,278,2,2026-01-17,8.8,Low
F0610,3,1,5.2,5.5,58.6,1,367,5,2026-02-04,3.4,Medium
F0611,7,0,6.6,3.7,33.7,1,665,4,2026-04-18,10.0,Medium
F0612,3,5,2.6,7.8,87.4,1,416,8,2026-09-06,3.2,High
F0613,7,4,7.4,2.3,9.8,0,348,4,2026-02-03,4.5,Medium
F0614,8,4,8.5,3.6,32.8,1,515,2,2026-02-27,1.4,Low
F0615,5,1,7.2,4.5,40.1,1,416,5,2026-08-04,8.6,Medium
F0616,2,5,5.5,4.8,43.3,1,540,4,2026-06-21,22.1,Medium
F0617,4,2,4.9,7.7,49.2,1,691,5,2026-03-09,13.8,High
F0618,5,2,6.9,4.3,30.2,1,329,6,2026-05-26,1.2,Medium
F0619,7,3,5.6,4.9,42.9,1,399,7,2026-03-24,9.2,Medium
F0620,9,0,4.5,7.6,64.6,1,420,7,2026-01-18,6.2,High
F0621,9,2,7.6,4.5,50.7,1,388,6,2026-08-23,0.5,Medium
F0622,0,1,5.0,8.1,57.6,0,261,11,2026-05-29,4.8,High
F0623,4,3,7.9,4.4,43.5,1,298,4,2026-03-01,9.9,Medium
F0624,4,2,5.8,3.2,65.4,1,491,5,2026-04-24,7.7,Medium
F0625,9,4,8.7,2.5,4.0,1,540,2,2026-01-29,5.4,Low
F0626,3,3,8.0,4.5,52.0,1,304,4,2026-08-17,3.2,Low
F0627,8,5,7.2,6.5,36.4,1,202,3,2026-08-01,1.3,Medium
F0628,1,3,2.4,8.0,75.9,1,697,8,2026-07-12,3.1,High
F0629,4,5,2.9,9.7,60.6,1,573,8,2026-07-15,10.6,High
F0630,6,3,7.3,1.3,37.8,1,209,2,2026-04-25,10.1,Low
F0631,6,3,7.3,4.6,23.7,1,188,3,2026-05-06,8.2,Low
F0632,4,1,7.6,3.5,17.4,0,260,5,2026-08-12,4.9,Medium
F0633,9,4,4.4,3.4,68.0,1,236,5,2026-03-16,0.5,Medium
F0634,6,0,8.9,2.6,16.7,1,397,3,2026-07-02,18.2,Low
F0635,9,1,5.7,7.1,58.8,1,497,5,2026-06-15,10.9,High
F0636,6,2,5.7,5.6,40.1,1,253,6,2026-03-15,3.2,Medium
F0637,3,5,4.6,6.3,47.9,0,449,9,2026-04-07,0.8,High
F0638,5,3,7.5,2.3,2.4,1,350,0,2026-08-02,12.2,Low
F0639,8,1,7.1,4.4,51.0,1,452,0,2026-06-25,1.1,Low
F0640,8,2,8.4,1.9,48.2,1,663,5,2026-06-07,8.7,Low
F0641,6,1,6.9,4.5,31.0,1,71,3,2026-02-25,11.2,Low
F0642,1,5,5.8,4.7,49.4,1,428,5,2026-02-19,8.3,Medium
F0643,9,2,7.5,6.2,39.7,1,617,7,2026-06-28,14.0,Medium
F0644,3,2,4.7,7.7,40.4,1,347,6,2026-01-08,12.8,High
F0645,9,1,5.4,2.3,64.5,1,754,8,2026-09-01,9.7,Medium
F0646,3,2,4.4,5.4,54.4,0,516,10,2026-04-20,3.6,High
F0647,1,0,3.7,8.5,62.5,1,656,6,2026-01-21,5.1,High
F0648,3,4,7.6,2.1,34.1,1,400,0,2026-04-26,13.8,Low
F0649,1,4,5.5,8.0,54.5,1,507,5,2026-09-09,4.8,High
F0650,8,3,5.3,3.9,62.1,1,568,6,2026-02-22,6.7,Medium
F0651,2,0,5.6,6.1,59.9,1,833,4,2026-05-20,2.0,Medium
F0652,1,0,7.4,1.9,38.3,1,252,3,2026-02-25,11.0,Low
F0653,2,5,5.0,6.1,60.2,1,410,5,2026-04-02,13.3,High
F0654,5,2,6.4,4.3,37.1,1,502,4,2026-09-10,10.4,Medium
F0655,1,4,5.8,6.7,32.3,1,421,7,2026-08-09,5.8,Medium
F0656,8,4,6.8,1.8,49.3,1,563,4,2026-06-05,8.1,Medium
F0657,5,5,4.9,6.6,39.7,1,669,4,2026-08-29,5.1,Medium
F0658,4,0,5.6,6.3,38.4,1,20,4,2026-06-30,7.2,Medium
F0659,1,4,8.8,2.9,32.1,1,581,3,2026-07-14,6.6,Low
F0660,1,0,3.8,6.5,78.7,1,342,6,2026-02-13,7.8,High
F0661,5,5,7.3,4.2,32.5,1,415,2,2026-01-11,4.1,Low
F0662,9,4,6.2,5.9,47.9,1,386,5,2026-04-16,5.0,Medium
F0663,3,2,3.2,7.8,62.9,1,687,5,2026-02-08,4.3,High
F0664,0,3,6.5,4.4,47.7,0,301,8,2026-02-17,10.2,High
F0665,4,4,5.1,5.3,40.3,1,320,7,2026-09-16,3.2,Medium
F0666,6,1,8.0,2.4,19.6,1,427,4,2026-04-03,8.4,Low
F0667,0,1,5.3,3.2,45.7,0,359,4,2026-08-11,10.2,High
F0668,2,4,7.3,2.6,24.1,1,505,4,2026-06-03,8.7,Low
F0669,2,2,4.9,8.3,66.6,1,488,6,2026-05-01,13.0,High
F0670,2,1,5.2,6.4,61.2,1,544,4,2026-08-12,6.2,Medium
F0671,5,3,7.5,3.0,34.0,1,482,1,2026-01-22,2.4,Low
F0672,1,4,5.5,8.1,62.7,1,406,6,2026-07-06,23.3,High
F0673,5,3,9.3,1.0,22.6,1,512,0,2026-05-09,20.3,Low
F0674,2,2,5.9,5.1,56.0,1,290,6,2026-05-01,3.7,Medium
F0675,9,5,7.1,4.5,52.9,1,385,2,2026-02-27,6.7,Medium
F0676,4,3,6.5,2.8,53.3,0,805,5,2026-07-08,3.4,Medium
F0677,3,4,3.9,4.9,89.3,1,508,9,2026-05-10,0.5,High
F0678,2,3,5.0,4.8,89.9,1,472,5,2026-08-15,15.1,High
F0679,5,1,8.0,2.3,40.7,1,406,3,2026-03-24,13.0,Low
F0680,5,1,7.7,2.3,56.1,1,473,2,2026-09-09,0.6,Low
F0681,2,5,3.3,9.0,66.5,1,20,6,2026-06-30,13.0,High
F0682,5,1,4.3,6.5,45.8,1,304,3,2026-04-05,7.7,Medium
F0683,0,1,7.7,4.3,24.3,1,292,0,2026-03-08,1.3,Low
F0684,4,2,5.9,2.5,66.6,1,512,4,2026-06-17,1.4,Medium
F0685,1,4,8.0,3.6,19.3,1,562,3,2026-04-28,6.3,Low
F0686,9,2,6.5,5.1,64.1,1,240,5,2026-02-15,2.3,Medium
F0687,7,0,7.3,3.5,33.4,0,199,5,2026-04-15,4.5,Medium
F0688,7,4,5.6,5.0,67.5,1,614,4,2026-05-25,36.0,High
F0689,1,3,7.8,5.3,69.4,1,538,4,2026-08-23,4.5,Medium
F0690,0,0,8.9,1.0,27.4,0,308,5,2026-08-05,3.6,Low
F0691,6,0,8.6,3.1,55.3,1,593,1,2026-01-24,3.3,Low
F0692,0,2,4.6,5.1,60.2,0,374,8,2026-01-22,16.7,High
F0693,9,3,6.3,6.2,71.3,1,238,4,2026-03-01,2.9,Medium
F0694,0,0,6.2,6.3,44.0,0,389,9,2026-05-15,4.2,High
F0695,6,2,4.4,6.5,74.0,1,739,4,2026-08-14,22.5,High
F0696,6,4,4.9,6.7,66.0,1,407,8,2026-09-11,4.3,High
F0697,8,2,4.5,8.1,45.3,1,453,6,2026-05-26,15.1,High
